cell,block,fingerprint,cachedValue,sharedSi,functions,dependencySheets,formula,normalizedFormula
B1,UNCLASSIFIED,1e4d06da3c596bca9296,0,,IF,,"IF(M10=""Thử tĩnh"",1,0)","IF(R[+9]C[+11]=""THỬTĨNH"",1,0)"
L3,UNCLASSIFIED,7fabb2fc4423b971bca3,46253,,TODAY,,TODAY(),TODAY()
C9,UNCLASSIFIED,32e35811abc1235c0ac2,Cấp hậu quả của công trình:,,,,"""Cấp hậu quả của công trình:""","""CẤPHẬUQUẢCỦACÔNGTRÌNH:"""
H10,UNCLASSIFIED,60f21ab69bd9cd6b1f8c,1.1499999999999999,,IF,,"IF(H9=""C1"",1,IF(H9=""C2"",1.15,1.2))","IF(R[-1]C=""R[-9]C[-5]"",1,IF(R[-1]C=""R[-8]C[-5]"",1.15,1.2))"
N17,UNCLASSIFIED,dcd034cac898a63d885c,480,,MAX | MIN,,"MAX(MIN(O20:O1000),MIN(N20:N1000))","MAX(MIN(R[+3]C[+1]:R[+983]C[+1]),MIN(R[+3]C:R[+983]C))"
O17,UNCLASSIFIED,301b19d4646b2bdc23a9,480,,,,N17,RC[-1]
A20,JOIN,5ea8e873f07aa89e502e,1,,VLOOKUP,,"VLOOKUP(B20,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D20,JOIN,f5205744725a2f66161f,C250,,VLOOKUP,,"VLOOKUP(B20,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H20,JOIN,34eab90c394d3c1042b9,250,,VLOOKUP,,"VLOOKUP(B20,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I20,JOIN,316a886ee18efca0c3ce,350,,VLOOKUP,,"VLOOKUP(B20,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J20,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,,NHOMCOC,,"NhomCoc(A20,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K20,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,,,,I20/$H$10,RC[-2]/R10C8
L20,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0607413680969937,,IFERROR,,"IFERROR(K20/F20,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M20,STATUS,cc605bcd1178ce4c0905,OK,,IF,,"IF(L20<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N20,JOIN,df342480cfd1e9f94067,1849.9999999999998,,VLOOKUP,Point Coordinates,"VLOOKUP(C20,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O20,JOIN,49309262070579ea9998,4960,,VLOOKUP,Point Coordinates,"VLOOKUP(C20,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V20,UTILIZATION,b070dbb90878a1f60ba9,0,,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L20>$V$19,1/L20<=$W$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W20,UTILIZATION,de0a5dbfc5cc172602ba,0,,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L20>$W$19,1/L20<=$X$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X20,UTILIZATION,102bfd8013f27758e7c0,0.94273687260263472,,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L20>$X$19,1/L20<=$Y$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y20,UTILIZATION,2d4c8f3ea18940579bdf,0,,IF | IFERROR,,"IFERROR(IF(1/L20>$Y$19,1/L20,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z20,UTILIZATION,28ac2bdd4846fc6e2a7f,1.3699999999999997,,IF,,"IF(N20<>"""",(N20-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA20,UTILIZATION,1aafe524f4bc30e7637c,4.4800000000000004,,IF,,"IF(O20<>"""",(O20-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A21,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B21,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D21,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B21,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H21,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B21,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I21,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B21,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J21,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A21,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K21,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,,,,I21/$H$10,RC[-2]/R10C8
L21,UTILIZATION,668b1c1dbfcf6df7c7f2,1.1664061660740719,5,IFERROR,,"IFERROR(K21/F21,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M21,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L21<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N21,JOIN,df342480cfd1e9f94067,1680,,VLOOKUP,Point Coordinates,"VLOOKUP(C21,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O21,JOIN,49309262070579ea9998,4030.0000000000005,,VLOOKUP,Point Coordinates,"VLOOKUP(C21,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V21,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L21>$V$19,1/L21<=$W$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W21,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L21>$W$19,1/L21<=$X$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X21,UTILIZATION,102bfd8013f27758e7c0,0.85733428807722512,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L21>$X$19,1/L21<=$Y$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y21,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L21>$Y$19,1/L21,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z21,UTILIZATION,28ac2bdd4846fc6e2a7f,1.2,11,IF,,"IF(N21<>"""",(N21-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA21,UTILIZATION,1aafe524f4bc30e7637c,3.5500000000000003,12,IF,,"IF(O21<>"""",(O21-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A22,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B22,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D22,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B22,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H22,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B22,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I22,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B22,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J22,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A22,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K22,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I22/$H$10,RC[-2]/R10C8
L22,UTILIZATION,668b1c1dbfcf6df7c7f2,1.123496236268215,5,IFERROR,,"IFERROR(K22/F22,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M22,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L22<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N22,JOIN,df342480cfd1e9f94067,750,,VLOOKUP,Point Coordinates,"VLOOKUP(C22,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O22,JOIN,49309262070579ea9998,4030.0000000000005,,VLOOKUP,Point Coordinates,"VLOOKUP(C22,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V22,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L22>$V$19,1/L22<=$W$19),1/L22,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W22,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L22>$W$19,1/L22<=$X$19),1/L22,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X22,UTILIZATION,102bfd8013f27758e7c0,0.89007863819960986,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L22>$X$19,1/L22<=$Y$19),1/L22,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y22,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L22>$Y$19,1/L22,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z22,UTILIZATION,28ac2bdd4846fc6e2a7f,0.27,11,IF,,"IF(N22<>"""",(N22-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA22,UTILIZATION,1aafe524f4bc30e7637c,3.5500000000000003,12,IF,,"IF(O22<>"""",(O22-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A23,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B23,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D23,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B23,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H23,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B23,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I23,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B23,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J23,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A23,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K23,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I23/$H$10,RC[-2]/R10C8
L23,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0674435480436297,5,IFERROR,,"IFERROR(K23/F23,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M23,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L23<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N23,JOIN,df342480cfd1e9f94067,750,,VLOOKUP,Point Coordinates,"VLOOKUP(C23,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O23,JOIN,49309262070579ea9998,4960,,VLOOKUP,Point Coordinates,"VLOOKUP(C23,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V23,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L23>$V$19,1/L23<=$W$19),1/L23,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W23,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L23>$W$19,1/L23<=$X$19),1/L23,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X23,UTILIZATION,102bfd8013f27758e7c0,0.93681769104582835,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L23>$X$19,1/L23<=$Y$19),1/L23,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y23,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L23>$Y$19,1/L23,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z23,UTILIZATION,28ac2bdd4846fc6e2a7f,0.27,11,IF,,"IF(N23<>"""",(N23-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA23,UTILIZATION,1aafe524f4bc30e7637c,4.4800000000000004,12,IF,,"IF(O23<>"""",(O23-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A24,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B24,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D24,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B24,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H24,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B24,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I24,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B24,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J24,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A24,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K24,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I24/$H$10,RC[-2]/R10C8
L24,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0230663691581616,5,IFERROR,,"IFERROR(K24/F24,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M24,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L24<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N24,JOIN,df342480cfd1e9f94067,3330,,VLOOKUP,Point Coordinates,"VLOOKUP(C24,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O24,JOIN,49309262070579ea9998,5390,,VLOOKUP,Point Coordinates,"VLOOKUP(C24,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
