Point,GlobalX,GlobalY,GlobalZ,SpecialPt
187,4.05,6.2250000000000005,0,#N/A
188,4.075,-0.15000000000000002,0,#N/A
189,4.075,0.8750000000000001,0,#N/A
192,2.015,3.65,0,#N/A
191,2.015,5.59,0,#N/A
193,3.185,5.59,0,#N/A
142,-0.15,4.62,0,#N/A
143,2.015,4.62,0,#N/A
190,0.9325000000000001,3.65,0,#N/A
194,0.9325000000000001,5.59,0,#N/A
133,2.2395756033562804,2.874223512048506,19.900000000000002,#N/A
134,4.495762273036154,2.8795124925298534,17.1,#N/A
138,4.541913796918174,2.890230097290719,13.8,#N/A
139,4.541913796918174,2.890230097290719,10.5,#N/A
140,4.191652288571879,2.9070841619970724,7.2,#N/A
141,4.18712020818989,2.9070343631247844,3.6,#N/A
28,2.035,2.949466666666667,19.900000000000002,#N/A
36,4.875,3.1799999999999997,17.1,#N/A
107,4.875,3.1799999999999997,13.8,#N/A
108,4.875,3.1799999999999997,10.5,#N/A
109,4.125,3.1799999999999997,7.2,#N/A
110,4.125,3.1799999999999997,3.6,#N/A
111,2.035,2.949466666666667,19.900000000000002,#N/A
112,4.875,3.1799999999999997,17.1,#N/A
113,4.875,3.1799999999999997,13.8,#N/A
114,4.875,3.1799999999999997,10.5,#N/A
128,4.125,3.1799999999999997,7.2,#N/A
131,4.125,3.1799999999999997,3.6,#N/A
