Story,Pier,CaseCombo,Location,P,V2,V3,T,M2,M3
T2,C1,EULS Max,0,-2298.4631174387555,39.21121640276765,56.77130253662758,0.48302194881150945,146.26437594036972,82.88944966517502
T2,C1,EULS Max,2.25,-2286.3273855887555,39.21121640276765,56.77130253662758,0.48302194881150945,18.528945232957646,-1.363761993036503
T2,C1,EULS Max,4.5,-2274.1916537387556,39.21121640276765,56.77130253662758,0.48302194881150945,117.00106642781992,6.817265725236474
T2,C1,EULS Min,0,-2809.13550788628,-10.031253649394976,-58.08751148048618,-0.5898446525726686,-144.3927352343679,-38.32337569704093
T2,C1,EULS Min,2.25,-2796.99977603628,-10.031253649394976,-58.08751148048618,-0.5898446525726686,-13.69583440327399,-18.286150934631344
T2,C1,EULS Min,4.5,-2784.86404418628,-10.031253649394976,-58.08751148048618,-0.5898446525726686,-109.20648547445441,-93.5610241472794
T2,C10,EULS Max,0,-712.8592889709015,12.376557657826293,44.48091927567282,0.48302194881150934,147.97307128891586,47.28923168991424
T2,C10,EULS Max,2.125,-701.3977644459014,12.376557657826293,44.48091927567282,0.48302194881150934,53.45111782811111,20.989046667033353
T2,C10,EULS Max,4.25,-689.9362399209015,12.376557657826293,44.48091927567282,0.48302194881150934,-0.4566614484449545,32.39636590464664
T2,C10,EULS Min,0,-960.68068685583,-20.619146427991712,-26.86008364882306,-0.5898446525726685,-114.61201695594296,-55.565523824127645
T2,C10,EULS Min,2.125,-949.2191623308299,-20.619146427991712,-26.86008364882306,-0.5898446525726685,-57.53433920219396,-11.749837664645252
T2,C10,EULS Min,4.25,-937.75763780583,-20.619146427991712,-26.86008364882306,-0.5898446525726685,-43.026172337708616,-5.311138355847524
T2,C11,EULS Max,0,-319.51702368193185,2.9438786637680456,3.2967661132133204,0.029110185195182738,7.770023013040394,6.35124878608851
T2,C11,EULS Max,2.085,-316.7955453621299,2.9438786637680456,3.2967661132133204,0.029110185195182738,0.8962656669906212,0.21326177213213476
T2,C11,EULS Max,4.17,-314.07406704232784,2.9438786637680456,3.2967661132133204,0.029110185195182738,7.04457123688873,3.8539382120728924
T2,C11,EULS Min,0,-385.14980690100185,-2.080552166683895,-3.635136614296397,-0.035548047278238855,-8.113948444727246,-4.82196432299895
T2,C11,EULS Min,2.085,-382.4283285811999,-2.080552166683895,-3.635136614296397,-0.035548047278238855,-0.5346886039192579,-0.4840130554630286
T2,C11,EULS Min,4.17,-379.70685026139785,-2.080552166683895,-3.635136614296397,-0.035548047278238855,-5.977491679059151,-5.924725241824241
T2,C12,EULS Max,0,-871.2823114920069,11.556218200931779,48.32956027148924,0.3271689205960823,147.94773233483744,30.71298474995486
T2,C12,EULS Max,2.085,-861.1611111291069,11.556218200931779,48.32956027148924,0.3271689205960823,47.180599168782365,6.618269801012102
T2,C12,EULS Max,4.17,-851.039910766207,11.556218200931779,48.32956027148924,0.3271689205960823,91.37619333271083,19.60403725890519
T2,C12,EULS Min,0,-1204.2296676481183,-11.734043793909391,-60.71608869289456,-0.399523952848109,-161.80989651665948,-29.32692536169697
T2,C12,EULS Min,2.085,-1194.1084672852182,-11.734043793909391,-60.71608869289456,-0.399523952848109,-35.21685159197432,-4.86144405139589
T2,C12,EULS Min,4.17,-1183.9872669223182,-11.734043793909391,-60.71608869289456,-0.399523952848109,-53.586533997272696,-17.476445147930658
T2,C13,EULS Max,0,-185.11697022008582,1.7692316924292992,6.8170178482451975,0.05159355716042242,20.144289222316676,5.399968462106831
T2,C13,EULS Max,2.125,-181.33466712683583,1.7692316924292992,6.8170178482451975,0.05159355716042242,5.658126294795634,1.7239194531860333
T2,C13,EULS Max,4.25,-177.55236403358583,1.7692316924292992,6.8170178482451975,0.05159355716042242,5.311446730587097,5.565508901131098
T2,C13,EULS Min,0,-350.403534947592,-2.7780911122152157,-5.211644113054764,-0.06300372865696231,-16.83804074989565,-6.553708526010618
T2,C13,EULS Min,2.125,-346.621231854342,-2.7780911122152157,-5.211644113054764,-0.06300372865696231,-5.763297009654277,-0.6505979570968388
T2,C13,EULS Min,4.25,-342.838928761092,-2.7780911122152157,-5.211644113054764,-0.06300372865696231,-8.92107541477153,-2.1192662307176913
T2,C14,EULS Max,0,-901.4119577817652,17.216856372662807,31.074331064610405,0.48302194881150934,98.84138552134418,67.54819234907042
T2,C14,EULS Max,2.125,-889.9504332567651,17.216856372662807,31.074331064610405,0.48302194881150934,32.80843200904707,31.01901207942657
T2,C14,EULS Max,4.25,-878.488908731765,17.216856372662807,31.074331064610405,0.48302194881150934,21.859927250233373,50.432719961558035
T2,C14,EULS Min,0,-1404.2437240145828,-29.74043235916779,-25.25575214328289,-0.5898446525726685,-85.47701935871892,-80.4096158294888
T2,C14,EULS Min,2.125,-1392.7821994895828,-29.74043235916779,-25.25575214328289,-0.5898446525726685,-31.808546054242772,-17.68730619961593
T2,C14,EULS Min,4.25,-1381.3206749645826,-29.74043235916779,-25.25575214328289,-0.5898446525726685,-33.22452150325004,-5.623447234746518
T2,C15,EULS Max,0,-145.64019312213713,1.7389069875518823,5.5340456313214945,0.05159355716042242,18.232147431937904,5.2943082337937675
T2,C15,EULS Max,2.125,-141.85789002888714,1.7389069875518823,5.5340456313214945,0.05159355716042242,6.472300465379729,1.6844515602295025
T2,C15,EULS Max,4.25,-138.07558693563715,1.7389069875518823,5.5340456313214945,0.05159355716042242,9.124029625385454,5.548446131813904
T2,C15,EULS Min,0,-316.0809502478787,-2.759265301404229,-6.560528029707213,-0.06300372865696231,-18.848417337461562,-6.477895028640734
T2,C15,EULS Min,2.125,-312.2986471546287,-2.759265301404229,-6.560528029707213,-0.06300372865696231,-4.907295274333733,-0.6224737746424099
T2,C15,EULS Min,4.25,-308.51634406137873,-2.759265301404229,-6.560528029707213,-0.06300372865696231,-5.287546501178447,-2.0960464633017324
T2,C16,EULS Max,0,-663.5510933320672,8.586887116764018,18.51815015581804,0.32716892059608227,72.05997047806378,34.86339926113355
T2,C16,EULS Max,2.25,-652.6289346670673,8.586887116764018,18.51815015581804,0.32716892059608227,30.394132627473173,15.913746390748795
T2,C16,EULS Max,4.5,-641.7067760020673,8.586887116764018,18.51815015581804,0.32716892059608227,62.06178294939764,43.00010759954129
T2,C16,EULS Min,0,-1003.8941149932939,-20.18862180527325,-35.4928616176742,-0.39952395284810893,-100.99750448330471,-50.113304392661675
T2,C16,EULS Min,2.25,-992.9719563282938,-20.18862180527325,-35.4928616176742,-0.39952395284810893,-21.13856584353776,-4.832694366110285
T2,C16,EULS Min,4.5,-982.0497976632939,-20.18862180527325,-35.4928616176742,-0.39952395284810893,-11.271705223117415,-3.7775927643045257
T2,C2,EULS Max,0,-806.6908301180946,26.26762495464336,51.34524246759341,0.48302194881150945,135.30085403606572,64.9930456705003
T2,C2,EULS Max,2.085,-795.4450519370946,26.26762495464336,51.34524246759341,0.48302194881150945,28.246023491133464,10.225047640068887
T2,C2,EULS Max,4.17,-784.1992737560946,26.26762495464336,51.34524246759341,0.48302194881150945,54.546015018420064,14.573555191055867
T2,C2,EULS Min,0,-1103.0835191162914,-13.968226754166466,-41.13414391177477,-0.5898446525726686,-116.98336509368072,-43.673950373818286
T2,C2,EULS Min,2.085,-1091.8377409352913,-13.968226754166466,-41.13414391177477,-0.5898446525726686,-31.218675037630327,-14.550197591381213
T2,C2,EULS Min,4.17,-1080.5919627542914,-13.968226754166466,-41.13414391177477,-0.5898446525726686,-78.8088070537988,-44.54295039036251
T2,C23,EULS Max,0,-1535.873666989218,19.83329957218725,59.6404637314409,0.48302194881150934,165.78382469097704,58.347082814967266
T2,C23,EULS Max,2.125,-1524.4121424642178,19.83329957218725,59.6404637314409,0.48302194881150934,41.774386295389384,16.20132122406936
T2,C23,EULS Max,4.25,-1512.9506179392176,19.83329957218725,59.6404637314409,0.48302194881150934,-5.1479093726150325,30.18400204666888
T2,C23,EULS Min,0,-2155.3676021830265,-19.886945725575053,-24.393765754144013,-0.5898446525726685,-108.82141382772708,-54.47971899757337
T2,C23,EULS Min,2.125,-2143.9060776580263,-19.886945725575053,-24.393765754144013,-0.5898446525726685,-56.98466160017106,-12.219959330726377
T2,C23,EULS Min,4.25,-2132.4445531330266,-19.886945725575053,-24.393765754144013,-0.5898446525726685,-92.57298980221252,-25.944440366828545
T2,C24,EULS Max,0,-1789.9963535697373,20.47791397193654,60.59802147820677,0.48302194881150945,162.82438373498763,59.303002993961954
T2,C24,EULS Max,2.25,-1777.8606217197375,20.47791397193654,60.59802147820677,0.48302194881150945,31.651748568787347,13.227696557104734
T2,C24,EULS Max,4.5,-1765.7248898697376,20.47791397193654,60.59802147820677,0.48302194881150945,14.456068711504898,31.485320828510567
T2,C24,EULS Min,0,-2467.510553982111,-18.718189338727587,-28.078532444540844,-0.5898446525726686,-111.8973272889289,-52.74653119576358
T2,C24,EULS Min,2.25,-2455.3748221321116,-18.718189338727587,-28.078532444540844,-0.5898446525726686,-49.05009260880952,-10.630605183626505
T2,C24,EULS Min,4.5,-2443.2390902821116,-18.718189338727587,-28.078532444540844,-0.5898446525726686,-113.06050086302533,-32.84760987975248
